incident_id,date_reported,customer_name,environment,service_module,incident_summary,incident_category,impact_scope,severity_level,detected_by,root_cause,resolution_steps,time_to_detect_ttd,time_to_resolve_ttr,preventive_actions,automation_suggestion,incident_tags,logs_or_errors,owner_resolver,linked_incidents,postmortem_link,gpt_insight_label
INC-2026-0634,16-07-2026 22:43,Equitas,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P1,Client,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",27m,1h 55m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,in,v3.3.2,incident",javax.net.ssl.SSLHandshakeException at line 154,DevOps Team B,,https://companywiki/postmortems/inc-2026-0634,Pattern: SSL Cert Expiry
INC-2025-0970,18-07-2025 12:29,Delta Retail,Production,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.0 in US.,Third-party,Partial failures; slow transactions; increased error rates. Metric: error rate 18%.,P0,PS Team,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,59m,1h 51m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,api-gateway,us,v3.3.0,incident",Upstream timeout calling vendor API after 10s,SRE Team B,"INC-2025-0207, INC-2025-1519",https://companywiki/postmortems/inc-2025-0970,Pattern: Third-party API Degradation
INC-2025-1344,27-02-2025 07:27,Kappa Insurance,Production,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v3.2.4 in US.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: 5xx spike 22%.,P2,Grafana Alert,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1h 8m,3 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,mobile-backend,us,v3.2.4,incident",JWT signature verification failed,DBA Team,"INC-2025-1519, INC-2025-0045",,Pattern: Auth Token / Config Regression
INC-2026-1858,19-11-2026 13:27,Ummeed,UAT,redis-cache,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.3.0 in US.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P2,AppDynamics Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,35m,2 Hr,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,redis-cache,us,v3.3.0,incident",Evicted: The node was low on resource: memory,Platform Team,,,Pattern: K8s Resource Saturation
INC-2025-0439,02-10-2025 08:18,Ummeed,Production,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.2 in US.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P1,SRE Team,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1 Hr,2 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,us,v3.3.2,incident",HTTP 429/503 from upstream; retry storm detected,SRE Team A,,https://companywiki/postmortems/inc-2025-0439,Pattern: Third-party API Degradation
INC-2025-0450,09-07-2025 14:37,HHFL,Production,reporting-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.4 in IN.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P0,SRE Team,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,24m,17m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,reporting-service,in,v3.2.4,incident",CPU throttling high; request latency p95 elevated,DevOps Team A,"INC-2025-0450, INC-2025-0207",https://companywiki/postmortems/inc-2025-0450,Pattern: K8s Resource Saturation
INC-2026-1541,19-04-2026 01:32,ABC Financials,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.2.1 in US.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P0,Prometheus Alert,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,17m,2h 6m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,us,v3.2.1,incident",NXDOMAIN for api.company.com,PS Team,,,
INC-2025-1244,24-08-2025 07:19,BOB,Staging,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.2.1 in MEA.,Network issue,Users unable to access the application; 502/504 at edge. Metric: CPU 92%.,P2,Synthetic Monitor,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,10m,2h 36m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mea,v3.2.1,incident",ELB 504 Gateway Timeout spike,SRE Team B,,https://companywiki/postmortems/inc-2025-1244,Pattern: DNS / LB Misroute
INC-2025-1160,06-11-2025 05:22,HHFL,Production,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.2.1 in APAC.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P1,Grafana Alert,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1 Hr,3h 31m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,apac,v3.2.1,incident",CircuitBreakerOpenException: calls not permitted,Security Team,"INC-2026-0450, INC-2025-1371",https://companywiki/postmortems/inc-2025-1160,Pattern: Third-party API Degradation
INC-2026-1745,06-05-2026 04:05,Ummeed,UAT,orders-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v4.0.0 in MEA.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: memory 95%.,P0,On-call Engineer,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,36m,4 Hr,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,orders-service,mea,v4.0.0,incident",Evicted: The node was low on resource: memory,Network Team,"INC-2025-1580, INC-2025-1519",https://companywiki/postmortems/inc-2026-1745,Pattern: K8s Resource Saturation
INC-2025-1475,04-04-2025 17:36,Orion Logistics,Production,db-cluster-3,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.2.1 in IN.,Database,Requests time out; partial outages for read/write paths. Metric: p95 latency 1200ms.,P2,AppDynamics Alert,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,45m,1h 53m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,db-cluster-3,in,v3.2.1,incident",Too many connections for user 'app_user',Network Team,"INC-2025-0970, INC-2024-1202",https://companywiki/postmortems/inc-2025-1475,Pattern: DB Connection Pool Exhaustion
INC-2026-0248,31-03-2026 12:46,Delta Retail,Production,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.3.2 in US.,Network issue,Users unable to access the application; 502/504 at edge. Metric: CPU 92%.,P1,Client,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,25m,1 Hr,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,,"dns-/-lb-misroute,network-issue,us,v3.3.2,incident",,DevOps Team B,,https://companywiki/postmortems/inc-2026-0248,Pattern: DNS / LB Misroute
INC-2025-1134,22-01-2025 04:13,Sapphire Bank,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v4.0.0 in EU.,Network issue,Users unable to access the application; 502/504 at edge. Metric: CPU 92%.,P1,AppDynamics Alert,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,1 Hr,21m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,eu,v4.0.0,incident",,SRE Team B,,https://companywiki/postmortems/inc-2025-1134,Pattern: DNS / LB Misroute
INC-2025-1662,27-02-2025 22:37,DBS,DR,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v4.0.0 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: 5xx spike 22%.,P0,Grafana Alert,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",55m,1 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,,"ssl-cert-expiry,deployment,identity-service,in,v4.0.0,incident",javax.net.ssl.SSLHandshakeException at line 154,,"INC-2025-0450, INC-2025-1673",https://companywiki/postmortems/inc-2025-1662,Pattern: SSL Cert Expiry
INC-2025-1353,13-04-2025 18:40,Au bank,Production,orders-service,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.3.2 in IN.,Database,Requests time out; partial outages for read/write paths. Metric: 5xx spike 22%.,P1,Client,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,59m,23m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,orders-service,in,v3.3.2,incident",Too many connections for user 'app_user',SRE Team A,,https://companywiki/postmortems/inc-2025-1353,Pattern: DB Connection Pool Exhaustion
INC-2025-0236,15-06-2025 02:34,Equitas,Production,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v3.2.4 in EU.,Third-party,Partial failures; slow transactions; increased error rates. Metric: CPU 92%.,P1,Client,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1 Hr,1h 48m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,api-gateway,eu,v3.2.4,incident",HTTP 429/503 from upstream; retry storm detected,,,,
INC-2026-0661,13-10-2026 06:21,NovaTel,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.2.1 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: error rate 18%.,P0,Prometheus Alert,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",56m,2h 47m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,mea,v3.2.1,incident",x509: certificate has expired or is not yet valid,Platform Team,,,Pattern: SSL Cert Expiry
INC-2025-0330,30-11-2025 02:39,NovaTel,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.3.2 in EU.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P1,SRE Team,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,1m,2h 53m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,eu,v3.3.2,incident",,Security Team,,https://companywiki/postmortems/inc-2025-0330,Pattern: DNS / LB Misroute
INC-2026-0906,31-08-2026 21:13,Equitas,Production,notifications-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.1 in EU.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P1,AppDynamics Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,29m,3h 40m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,notifications-service,eu,v3.2.1,incident",OOMKilled: Container killed due to out of memory,Network Team,,,Pattern: K8s Resource Saturation
INC-2026-1445,17-07-2026 15:01,Ummeed,Production,Webapi,Login failures after configuration change; token validation mismatch. Observed after v3.2.4 in MEA.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: memory 95%.,P1,On-call Engineer,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,36m,3h 22m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,webapi,mea,v3.2.4,incident",invalid_audience: token aud mismatch,Network Team,,https://companywiki/postmortems/inc-2026-1445,Pattern: Auth Token / Config Regression
INC-2026-0612,09-10-2026 23:17,Sapphire Bank,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: CPU 92%.,P2,Client,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",25m,3 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,mea,v3.3.2,incident",x509: certificate has expired or is not yet valid,Network Team,,https://companywiki/postmortems/inc-2026-0612,Pattern: SSL Cert Expiry
INC-2026-1871,01-10-2026 21:12,Sapphire Bank,Production,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.2.4 in EU.,Network issue,Users unable to access the application; 502/504 at edge. Metric: 5xx spike 22%.,P2,Client,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,59m,8m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,eu,v3.2.4,incident",ELB 504 Gateway Timeout spike,Network Team,,https://companywiki/postmortems/inc-2026-1871,
INC-2025-1601,02-07-2025 07:58,NovaTel,Production,Webapi,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.3.2 in MEA.,Database,Requests time out; partial outages for read/write paths. Metric: CPU 92%.,P2,Grafana Alert,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,9m,1h 5m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,webapi,mea,v3.3.2,incident",SQLTransientConnectionException: timeout waiting for connection,PS Team,,https://companywiki/postmortems/inc-2025-1601,
INC-2025-1298,23-10-2025 07:09,Orion Logistics,UAT,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v3.3.0 in EU.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: p95 latency 1200ms.,P1,Synthetic Monitor,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1h 28m,48m,Config change review; canary validation; contract tests for auth flows.,,"auth-token-/-config-regression,deployment,mobile-backend,eu,v3.3.0,incident",JWT signature verification failed,SRE Team A,,,Pattern: Auth Token / Config Regression
INC-2025-1870,13-07-2025 06:35,Equitas,Production,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.2 in EU.,Third-party,Partial failures; slow transactions; increased error rates. Metric: CPU 92%.,P1,AppDynamics Alert,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,39m,2h 48m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,api-gateway,eu,v3.3.2,incident",HTTP 429/503 from upstream; retry storm detected,Platform Team,,https://companywiki/postmortems/inc-2025-1870,Pattern: Third-party API Degradation
INC-2026-0486,11-02-2026 10:04,Orion Logistics,Production,Webapi,Login failures after configuration change; token validation mismatch. Observed after v3.3.0 in IN.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: p95 latency 1200ms.,P2,Synthetic Monitor,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,1h 4m,4 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,webapi,in,v3.3.0,incident",401 Unauthorized spike - /oauth/token,SRE Team A,,https://companywiki/postmortems/inc-2026-0486,Pattern: Auth Token / Config Regression
INC-2025-0514,30-08-2025 03:07,NovaTel,Staging,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v3.3.0 in EU.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P2,Client,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,54m,49m,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,,"third-party-api-degradation,third-party,api-gateway,eu,v3.3.0,incident",Upstream timeout calling vendor API after 10s,SRE Team B,,,Pattern: Third-party API Degradation
INC-2026-0337,19-11-2026 12:33,Kappa Insurance,DR,mobile-backend,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.3.2 in EU.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P3,Synthetic Monitor,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,51m,3h 41m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,mobile-backend,eu,v3.3.2,incident",NXDOMAIN for api.company.com,,,https://companywiki/postmortems/inc-2026-0337,Pattern: DNS / LB Misroute
INC-2025-0755,26-06-2025 14:54,HHFL,Production,reporting-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.1 in IN.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P2,Grafana Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,1h 0m,1h 22m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,reporting-service,in,v3.2.1,incident",,,,https://companywiki/postmortems/inc-2025-0755,Pattern: K8s Resource Saturation
INC-2025-0481,07-02-2025 17:53,NovaTel,Production,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v3.2.1 in IN.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: memory 95%.,P1,SRE Team,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,57m,1h 58m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,mobile-backend,in,v3.2.1,incident",,DevOps Team A,,,Pattern: Auth Token / Config Regression
INC-2026-0816,24-01-2026 12:22,Sapphire Bank,Production,reporting-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v4.0.0 in US.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: p95 latency 1200ms.,P1,AppDynamics Alert,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,9m,3h 37m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,reporting-service,us,v4.0.0,incident",OOMKilled: Container killed due to out of memory,SRE Team B,,,Pattern: K8s Resource Saturation
INC-2025-1845,03-11-2025 06:41,BOB,Production,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.2.4 in APAC.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P2,Client,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,1 Hr,49m,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,apac,v3.2.4,incident",ELB 504 Gateway Timeout spike,Security Team,,https://companywiki/postmortems/inc-2025-1845,Pattern: DNS / LB Misroute
INC-2025-0919,04-07-2025 22:56,Delta Retail,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.0 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: memory 95%.,P1,On-call Engineer,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1 Hr,3h 7m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,,"ssl-cert-expiry,deployment,payment-gateway-service,mea,v3.3.0,incident",,SRE Team A,,https://companywiki/postmortems/inc-2025-0919,Pattern: SSL Cert Expiry
INC-2025-1279,17-04-2025 19:20,MT,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v4.0.0 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: memory 95%.,P2,Synthetic Monitor,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1h 11m,1 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,mea,v4.0.0,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,Network Team,,https://companywiki/postmortems/inc-2025-1279,Pattern: SSL Cert Expiry
INC-2026-0195,11-10-2026 08:28,HHFL,Production,Webapi,Login failures after configuration change; token validation mismatch. Observed after v3.2.1 in EU.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: p95 latency 1200ms.,P2,Client,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,8m,2h 35m,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,webapi,eu,v3.2.1,incident",invalid_audience: token aud mismatch,Network Team,,https://companywiki/postmortems/inc-2026-0195,
